"","uid","majority_label","entropy","old_label","n","e","c","ground_truth","hypothesis","premise"
"21","4951185210.jpg#0r1c","c",0.770663545987896,"c",16,2,82,"c","Someone is riding a bike.","Two black little boys hanging over an upside down bicycle, one examining the pedal."
"22","202029970.jpg#1r1e","e",0.968580601504563,"e",31,68,1,"e","A group of people are outside.","A group of people prepare hot air balloons for takeoff."
"23","428973409.jpg#4r1e","n",0.942683189255492,"n",64,36,0,"e","People are playing music.","A group of young people with instruments are on stage."
"24","4762813376.jpg#0r1n","n",0.841464636208176,"n",73,0,27,"n","The boy is outside and running from cops.","A young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt."
"25","4762813376.jpg#0r1e","n",0.55712468351235,"n",90,3,7,"e","The young boy is completing a heist.","A young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt."
"26","4762813376.jpg#0r1c","n",0.667073000644382,"n",86,2,12,"c","The bank has just been robbed.","A young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt."
"27","193596775.jpg#3r1n","n",1.09076194358102,"n",67,4,29,"n","A woman is walking her dog.","A woman is talking on the phone while standing next to a dog."
"28","3467843559.jpg#0r1c","n",0.608299848299792,"n",87,1,12,"c","The boys are all wearing yellow.","Three young boys one is holding a camera and another is holding a green toy all are wearing t-shirt and smiling."
"29","4837051771.jpg#2r1n","n",0.815727213605218,"n",80,18,2,"n","Two people in line to buy icecream.","A small ice cream stand with two people standing near it."
"30","4639918324.jpg#3r1e","e",0.44566434565824,"e",7,92,1,"e","A person is competing in a race.","Number 916 is hoping that he is going to win the race."
"31","3690358925.jpg#3r1e","n",0.956907135915233,"e",69,30,1,"e","The girl is having fun learning her letters.","Girl plays with colorful letters on the floor."
"32","1307094208.jpg#4r1n","n",0.872422774036567,"n",81,6,13,"n","A man and a camel wonder in the desert.","A man wandering in the desert as the clouds roll in."
"33","4717112737.jpg#3r1n","n",0.893173458377857,"c",69,0,31,"n","The street performer is entertaining the tourists.","A lady with bright orange hair walking in a crowd."
"34","4956464881.jpg#4r1e","e",0,"e",0,100,0,"e","There is a man running.","A man running a marathon talks to his friend."
"35","4869280869.jpg#0r1e","e",0.194391857831576,"e",3,97,0,"e","A lot of people walking outside a row of shops with a man with hands in his pockets.","A lot of people walking outside a row of shops with an older man with his hands in his pocket is closer to the camera."
"36","179829865.jpg#3r1e","n",0.636211337372578,"n",86,13,1,"e","The man is enjoying the ocean.","A man waterskies with a life jacket."
"37","4559327596.jpg#3r1e","n",1.06721984907,"n",53,46,1,"e","The people sit together.","A group of people sit on benches at a park outside a building."
"38","7043828775.jpg#1r1n","n",0.92481870497303,"n",66,0,34,"n","An old man searches for a good place to die.","An older gentleman enjoys a scenic stroll through the countryside."
"39","3271178748.jpg#0r1n","e",1.58223227364727,"c",33,36,31,"n","A player passing the ball in a soccer game.","Number 13 kicks a soccer ball towards the goal during children's soccer game."
"40","5217397101.jpg#2r1e","n",0.964799548505087,"n",61,39,0,"e","A nun taking photos of a interesting site outside.","A nun uses her camera to take a photo of an interesting site."
"41","164380865.jpg#3r1n","e",0.989906011609856,"e",33,66,1,"n","Two young asian men are squatting.","This is the image of two Asian men squatting near a mop-pad."
"42","4830075359.jpg#2r1e","e",0.65770477874422,"n",17,83,0,"e","A man giving a speech","An older gentleman speaking at a podium."
"43","2673209105.jpg#1r1e","e",0.979576432168017,"e",32,67,1,"e","A child is playing.","A young barefoot girl in a pink dress is jumping outside."
"44","74736854.jpg#0r1n","e",1.2199387765709,"e",31,62,7,"n","A light black late model station wagon is in the background.","A couple bows their head as a man in a decorative robe reads from a scroll in Asia with a black late model station wagon in the background."
"45","2637936161.jpg#4r1n","n",1.32049213391858,"n",59,30,11,"n","a younger boy looks at his father","A boy looks surly as his father looks at the camera."
"46","985067019.jpg#1r1n","c",1.4241497599239,"n",30,16,54,"n","A boy rolls around an inflatable ride.","A boy in red slides down an inflatable ride."
"47","4705854511.jpg#3r1n","n",0.286396957115956,"n",95,5,0,"n","The man is waiting for his car to be serviced.","A man is reading a newspaper in a car dealership."
"48","6083302879.jpg#0r1n","n",0.721279865552502,"n",84,2,14,"n","The two officers have gotten a call about a fight.","Two male police officers on patrol, wearing the normal gear and bright green reflective shirts."
"49","6083302879.jpg#0r1c","n",0.92481870497303,"c",66,0,34,"c","The officers have shot an unarmed black man and will not go to prison for it.","Two male police officers on patrol, wearing the normal gear and bright green reflective shirts."
"50","4429760815.jpg#3r1e","e",0.721928094887362,"e",20,80,0,"e","They expect a train to arrive eventually.","two people are waiting for a train at a station."
"51","4429760815.jpg#3r1c","c",0.33494448683869,"c",3,2,95,"c","They are both waiting for a bus.","two people are waiting for a train at a station."
"52","7421349720.jpg#1r1n","e",1.01231427904194,"n",30,68,2,"n","The goalie is running out to catch the ball before it passes him into the goal.","A goalie in white runs for an approaching ball while the opponent in red who kicked it waits."
"53","4265806100.jpg#0r1n","n",0.778011303546538,"c",77,0,23,"n","There are women on the subway.","Two men sitting on a subway are reading, with coats and scarves on, but have seemed to have lost their pants."
"54","4265806100.jpg#0r1e","e",0.407340745400986,"e",6,93,1,"e","There are people on the subway.","Two men sitting on a subway are reading, with coats and scarves on, but have seemed to have lost their pants."
"55","3552552910.jpg#0r1c","c",1.10251255980741,"c",41,2,57,"c","The elephants are performing in a circus tent.","Three elephants, each carrying a group of people, walking through the water."
"56","4916500021.jpg#1r1e","e",0.911822922009701,"e",23,75,2,"e","There is a man and a boy outside.","A man with a beard skateboarding and a boy with a blue and black backpack riding a green bike in the background."
"57","3667788497.jpg#3r1n","n",0.764114054554027,"n",84,12,4,"n","A young boy and his friend admire the vintage aircraft.","A young boy reaches for and touches the propeller of a vintage aircraft."
"58","3667788497.jpg#3r1e","e",0.741482739931274,"e",21,79,0,"e","A young boy and an airplane.","A young boy reaches for and touches the propeller of a vintage aircraft."
"59","7595435150.jpg#4r1c","n",1.0648830452581,"c",54,1,45,"c","Indian people hunting animals","Indian people dressed in magnificent bright colors conduct a ritual."
"60","459538095.jpg#0r1e","n",0.778011303546538,"n",77,23,0,"e","The two men are electronics enthusiasts.","Two men are in an electronics workshop, working on computers or equipment."
"61","5615084425.jpg#0r1e","n",0.976500468757824,"e",59,41,0,"e","Three men are in a laboratory doing a scientific study.","Three men in a science lab watch one of them hold a burning object, one man on the side is reaching for the ground."
"62","5615084425.jpg#0r1n","n",0.688275965299288,"n",84,1,15,"n","The men in the science lab are performing a science experiment on fruit flies.","Three men in a science lab watch one of them hold a burning object, one man on the side is reaching for the ground."
"63","2428997777.jpg#2r1n","n",0.914926372779728,"e",67,33,0,"n","Two friends sitting on step at their job.","Two female workers sit on some steps during work."
"64","2853682342.jpg#1r1n","n",1.34448709477686,"e",48,43,9,"n","A man is down a park","A man in a blue shirt, jumping down a hill in a park."
"65","2843695880.jpg#2r1c","c",1.11878903655513,"n",46,2,52,"c","The boys are surfing","Two boys stand in an ocean as the sun sets."
"66","6918466589.jpg#0r1n","n",1.0318939587528,"n",61,38,1,"n","Some kids in a classroom play a game with a trashcan.","A small group of children are standing in a classroom and one of them has a foot in a trashcan, which also has a rope leading out of it."
"67","4333374998.jpg#4r1n","n",1.0318939587528,"n",61,38,1,"n","The door is open.","A child is looking out of a door."
"68","3024172109.jpg#3r1n","n",1.10446542739599,"n",68,5,27,"n","A guy inside.","A boy in a baseball cap jumps over a flight of stairs."
"69","3457455611.jpg#3r1n","n",0.694816730699336,"n",85,2,13,"n","The boy is wearing a green shirt","A young boy is sitting in a green tunnel"
"70","2705099033.jpg#1r1e","e",1.00015982601079,"e",29,69,2,"e","Four males are sitting indoors.","Four young men sit on the floor close to a television that is showing Elmo from Sesame Street."
"71","4654662119.jpg#0r1n","n",0.942812235356471,"n",79,8,13,"n","An ocean is behind a couple about to fly red kites","Two boys are holding red kites with water in the background."
"72","404491917.jpg#1r1n","n",1.28509911578563,"n",61,29,10,"n","the person is in the water playing.","a man is swimming inside of a pool"
"73","3038952914.jpg#4r1e","e",0.976500468757824,"n",41,59,0,"e","She is in a chair.","a little girl sitting in a seat."
"74","3255539705.jpg#2r1n","n",0.868721246339405,"e",71,29,0,"n","A girl is by herself on a sled.","A teenage girl in winter clothes slides down a decline in a red sled."
"75","5235783452.jpg#3r1n","n",0.914926372779728,"n",67,33,0,"n","The man and girl are doing some home maintenance.","A man with a large power drill standing next to his daughter with a vacuum cleaner hose."
"76","4254811316.jpg#0r1n","e",0.636211337372578,"e",13,86,1,"n","Three children are dressed in warm winter clothes.","Three children dressed in winter clothes are walking through the woods while pushing cargo along."
"77","4553492074.jpg#4r1n","n",0.853611223393761,"n",82,11,7,"n","The person is on the ground.","A man is sitting outside wearing blue pants."
"78","3516521516.jpg#2r1n","n",1.09712456975879,"e",72,20,8,"n","There are only two people in the field.","Two players are on a wet field and one is on the ground."
"79","2879991421.jpg#3r1c","c",1.04963089070732,"c",41,1,58,"c","Bandits are sitting on horses as they prepare for a robbery.","Five people are sitting on horses at a rodeo."
"80","2814952319.jpg#0r1n","n",0.286396957115956,"n",95,0,5,"n","The women are wearing flip flops.","Nine women in white robes with hoods walk on plush, green grass."
"81","4696331217.jpg#4r1n","e",0.366446264453378,"e",5,94,1,"n","An indian is on his way to worship.","An indian man walks past a temple on his way to pray."
"82","86112925.jpg#0r1n","n",0.525666662449543,"n",91,5,4,"n","Upstanding citizens work at a soup kitchen to benefit the hungry.","A woman in a patterned shirt hands a plate of food to another woman in an apron, while two women work in the background."
"83","86112925.jpg#0r1e","e",0.9580420222263,"e",38,62,0,"e","Several women collaborate to hand out food.","A woman in a patterned shirt hands a plate of food to another woman in an apron, while two women work in the background."
"84","3732563003.jpg#0r1c","n",0.855012029664487,"c",76,1,23,"c","A homeless man has stolen a child's violin in order to fulfill his fantasy of joining the London Symphony Orchestra.","A man with a hat, boots, and brown pants, is playing the violin outside in front of a black structure."
"85","812196663.jpg#2r1n","n",0.98581503717892,"n",57,43,0,"n","Two kids enjoy their day at the beach.","Two kids are standing in the ocean hugging each other."
"86","2119660490.jpg#0r1c","n",0.5790188873238,"c",88,1,11,"c","The dog is dead.","A brown dog is laying on his side on a beige carpet, with a green object in the foreground."
"87","2782247529.jpg#0r1n","n",1.05433556413374,"n",57,42,1,"n","The girl is wearing jeans.","A girl in a striped black and white sweater holds on to her friend who is bent over wearing a hooded black sweater and torn blue jeans."
"88","3960632488.jpg#0r1c","n",0.636211337372579,"c",86,1,13,"c","The man and woman are sitting at home.","A man and a woman sit on a deck under a blue sky that is about to be overtaken by tumultuous clouds."
"89","2789232177.jpg#0r1n","n",0.387444919154476,"n",94,3,3,"n","The people are watching a soccer game.","People in a grocery store crowd around to watch a Tv, except one man who walks toward the camera."
"90","3958553026.jpg#1r1c","c",1.04963089070732,"c",41,1,58,"c","A person building a tent","A boy walking away from two Camden tents with a group of people behind him."
"91","8117746605.jpg#1r1n","n",0.194391857831576,"n",97,3,0,"n","The two basketball players are talking about an upcoming strategy.","Two basketball players in black and white outfits are standing on a basketball court, talking."
"92","93922153.jpg#2r1e","e",0.887896651765621,"n",25,74,1,"e","The woman is exercising.","A woman rock-climbs in a rural area."
"93","4541692312.jpg#4r1e","n",0.989906011609856,"n",66,33,1,"e","Woman using her personal computer.","An older woman on the computer"
"94","244344740.jpg#4r1c","n",0.995378438820226,"c",54,0,46,"c","Lady showing result of anger on her boss scolding","A woman in a gray shirt working on papers at her desk."
"95","2771802800.jpg#1r1n","n",0,"n",100,0,0,"n","The girl is five years old.","A young girl plays with a neon-colored Slinky in a crowd of people on a street lined with flags."
"96","6896996092.jpg#0r1c","c",0.855012029664487,"c",23,1,76,"c","There is a person selling food inside a fancy restaurant.","A gentlemen dressed in a purple shirt with a red apron selling items to eat at a sport event held during the day in the summer time."
"97","6303553615.jpg#2r1c","c",1.40332131705228,"n",35,13,52,"c","Kids are competing at a swim meet.","Young players engage in the sport of Water polo while others watch."
"98","6303553615.jpg#2r1n","e",0.914926372779728,"e",33,67,0,"n","Kids are enjoying a game of water polo.","Young players engage in the sport of Water polo while others watch."
"99","4337180031.jpg#0r1n","n",0.584238811642856,"c",86,0,14,"n","The kid is on a sugar high.","A kid in a red and black coat is laying on his back in the snow with his arm in the air and a red sled is next to him."
"100","7557754272.jpg#1r1c","c",0.712573461756777,"c",16,1,83,"c","A cyclist is taking a water break.","A cyclist in neon yellow uniform rides past spectators behind a yellow banner reading ""Lotos."""
"101","3587666993.jpg#2r1n","e",0.584238811642856,"n",14,86,0,"n","A man is reading documents in a binder.","A white-haired man in a white shirt looks at information in an orange-red binder."
"102","5847006092.jpg#0r1e","n",0.6098403047164,"n",85,15,0,"e","Some kids are playing outside on a playground while their mother is sitting down.","Three children play with a giant sphere on a playground while an adult sits on a bench reading the newspaper."
"103","2652843146.jpg#1r1c","c",1.28221088375195,"c",16,19,65,"c","Other look while a man carves beef","Three men look on as two other men carve up a freshly barbecued hog in the backyard."
"104","3913959754.jpg#1r1n","n",0.366446264453378,"n",94,5,1,"n","The woman is skipping rocks.","A woman is standing near the water, looks to be throwing something."
"105","2970367040.jpg#0r1c","c",0.242292189082415,"c",4,0,96,"c","The man is dancing in the park.","A man dressed in bright colored clothing is sitting on a chair on the sidewalk playing an instrument for cash."
"106","4920970731.jpg#3r1c","n",0.634309554640566,"n",84,0,16,"c","A boy and girl are kissing.","A girl in a pink tank top and her boyfriend sitting on stone steps."
"107","4920970731.jpg#3r1n","n",1.07860866857865,"n",61,37,2,"n","Some people are sitting on stone steps talking.","A girl in a pink tank top and her boyfriend sitting on stone steps."
"108","4696903210.jpg#1r1e","e",0,"e",0,100,0,"e","A man with headphones on is standing in a subway.","A well built black man stands in the subway, listening to headphones."
"109","4696903210.jpg#1r1n","e",1.26744491915448,"e",47,47,6,"n","A man listens to music while waiting for the train.","A well built black man stands in the subway, listening to headphones."
"110","2657844508.jpg#0r1c","n",1.06721984907,"c",53,1,46,"c","Two teetotalers prepare for dinner.","A man and woman are sitting at a table in front of a sign that reads IL PORTO and two wine bottles and two wineglasses are on the table."
"111","3447155358.jpg#3r1n","n",1.04432555269629,"e",59,40,1,"n","A little girl in red plays tennis.","A little girl in a red flowered dress with a tennis racket."
"112","509200598.jpg#1r1n","n",1.06195843513575,"n",55,44,1,"n","Two dogs chase each other in the high grass.","Two black dogs are frolicking around the grass together."
"113","3226796100.jpg#1r1n","e",0.964799548505087,"e",39,61,0,"n","A kid is swinging a toy golf club.","A young girl wearing a pink coat plays with a yellow toy golf club."
"114","44953144.jpg#0r1e","c",1.31036986577251,"e",11,29,60,"e","A man is riding a horse","A young man in a white and pink striped shirt is riding in a horse and buggy down a paved road."
"115","2896237618.jpg#0r1e","e",0.987785743109097,"e",22,74,4,"e","The jumping lady in slacks also has her hand raised.","A woman wearing gray pants, a white blouse and a black vest is jumping with one hand in the air as she goes through an indoor stadium."
"116","7000003068.jpg#0r1e","n",0.959395862019576,"e",72,26,2,"e","The man is outside.","A male soccer player has his foot extended as if he has just kicked the soccer ball while the ball flies through the air."
"117","483136916.jpg#3r1c","c",0.760167502961966,"c",22,0,78,"c","A basset hound runs by a park bench.","Dog standing in grassy sand dune."
"118","460869455.jpg#1r1e","e",0.27474331406078,"e",3,96,1,"e","The people are outside of the restaurant.","There is a large group of people in front of Papa John's restaurant."
"119","2839932205.jpg#4r1c","c",0.402179190202273,"c",8,0,92,"c","A girl sitting at the edge of a cliff.","A girl climbing a rock face."
"120","2839932205.jpg#4r1n","n",0.584238811642856,"n",86,14,0,"n","A girl climbing a rock face beside a dirt trail outside.","A girl climbing a rock face."
"121","2839932205.jpg#4r1e","n",0.944543589326252,"n",70,29,1,"e","A girl climbing a rock face outside.","A girl climbing a rock face."
"122","320199844.jpg#0r1n","n",0.930277371305245,"n",78,17,5,"n","The man is playing a Christmas concert.","A man in a Santa Claus costume is sitting on a wooden chair holding a microphone and a stringed instrument."
"123","2217258342.jpg#1r1e","e",0.221940732853211,"e",2,97,1,"e","A bicyclist passes an esthetically beautiful building on a sunny day","A building that portrays beautiful architecture stands in the sunlight as somebody on a bike passes by."
"124","2217258342.jpg#1r1c","c",0.634309554640566,"n",16,0,84,"c","A bicyclist rides past an abandoned warehouse on a rainy day","A building that portrays beautiful architecture stands in the sunlight as somebody on a bike passes by."
"125","3321018071.jpg#1r1n","n",1.07860866857865,"e",61,37,2,"n","The men are together.","Two brown-haired men wearing short-sleeved shirts and shorts are climbing stairs."
"126","4690670113.jpg#2r1n","n",0.92481870497303,"n",66,34,0,"n","The people are together","Two people with bags next to a street at night."
"127","4413167760.jpg#0r1e","e",0,"e",0,100,0,"e","Two guys having a conversation.","A man in a white button up shirt, and a man in a brown button up shirt discussing something over a table of food."
"128","4699585469.jpg#4r1c","c",0.99740158856774,"c",47,0,53,"c","Three people are riding bicycles down a lane.","Woman being photographed near a bicycle."
"129","4961904776.jpg#2r1c","c",0.914926372779728,"c",33,0,67,"c","The crowd watches a gymnast on the uneven bars.","A man is on the ground taking his shirt off as a crowd watches."
"130","2701042060.jpg#0r1n","n",1.35624747597904,"n",59,14,27,"n","Two short haired dogs of different colors drinking by a lake.","A black dog is drinking next to a brown and white dog that is looking at an orange ball in the lake, whilst a horse and rider passes behind."
"131","3018973947.jpg#0r1c","c",0.286396957115956,"c",5,0,95,"c","The person is walking through a crowd.","A young man in black pants and a gray shirt holds a skateboard with colorful decals upright while sitting on a gray stone block."
"132","3169213620.jpg#0r1n","n",0.943618340780974,"n",75,3,22,"n","A child plans out his future train empire.","A toddler dressed only in a pamper is sitting on the floor playing with 4 ""car"" pieces to a train set."
"133","6524893225.jpg#1r1n","c",1.24242722827063,"n",38,6,56,"n","The children rugby team are playing again after a short rain delay.","Two teams of children, one green the other red, play each other in a game of Rugby while it rains."
"134","4736181045.jpg#0r1n","n",0.242292189082415,"n",96,0,4,"n","The man and woman are married.","A man and a woman are jumping in midair and holding hands, a cloudy sky in the background."
"135","3637966641.jpg#3r1n","n",0.505248222649879,"n",91,2,7,"n","A group of young baseball players having a championship game.","Five little boys are playing baseball."
"136","3637966641.jpg#3r1e","e",1.23651338637484,"e",37,57,6,"e","A few little boys playing baseball outside.","Five little boys are playing baseball."
"137","2496236371.jpg#0r1e","e",1.05844358890056,"n",43,56,1,"e","A man does stunts on a motorcycle.","Someone in a red and white uniform is driving a red and white motorcycle down a track with the front wheel in the air."
"138","2496236371.jpg#0r1n","n",1.10248889231559,"n",66,30,4,"n","A man pops a wheely on a track for onlookers.","Someone in a red and white uniform is driving a red and white motorcycle down a track with the front wheel in the air."
"139","7772052674.jpg#0r1n","n",0.221940732853211,"n",97,2,1,"n","The women is drinking water.","A man in a bar drinks from a pitcher while a man in a green hat looks on and a woman in a black shirt drink from a glass."
"140","354999632.jpg#1r1n","n",1.44865736000962,"n",53,18,29,"n","The young man is resting.","Inside the igloo, the young man gets ready for his overnight stay."
"141","4710229807.jpg#0r1e","e",0.194391857831576,"n",3,97,0,"e","A kid straddles a bench","A youngster straddles a small makeshift bench while his companion plays in the doorway nearby."
"142","4710229807.jpg#0r1n","n",0.843896155830642,"n",80,17,3,"n","A kid straddles a bench while his brother plays in a doorway","A youngster straddles a small makeshift bench while his companion plays in the doorway nearby."
"143","7353914844.jpg#4r1e","e",1.15647857156806,"e",13,71,16,"e","Three people are in a boat.","Three people are kayaking in dark waters."
"144","7353914844.jpg#4r1n","n",1.18837637173451,"n",60,5,35,"n","A couple and a guide are whitewater rafting.","Three people are kayaking in dark waters."
"145","3347666612.jpg#1r1n","e",1.06292078203904,"n",35,63,2,"n","Two children are playing with water in the yard","Two children standing in the grass being sprayed by a hose."
"146","4826619341.jpg#0r1n","n",0.0807931358959112,"n",99,0,1,"n","The guy in the suit smoking the cig is on his lunch break.","Guy in a dark suit, with a cigarette in his right hand while talking on the phone."
"147","3360582670.jpg#3r1c","c",1.06195843513575,"c",44,1,55,"c","The child is scared to jump in the water.","A young adolescent is jumping into a pool."
"148","3794595430.jpg#3r1n","n",0.799483779737341,"n",79,20,1,"n","A woman is giving a presentation at work.","A woman stands at a podium with a slide show behind her."
"149","6233103167.jpg#3r1n","n",0.718129518949505,"n",85,3,12,"n","A surfer is riding a tsunami wave.","A surfer is surfing catches a wave."
"150","310401525.jpg#3r1c","n",0.917690563152123,"n",72,1,27,"c","A woman looking outside.","Two people are looking at something in New York City."
"151","310401525.jpg#3r1e","e",1.38664056565185,"n",30,56,14,"e","Two people looking at New York.","Two people are looking at something in New York City."
"152","5075833333.jpg#3r1c","e",1.55696854549096,"c",26,42,32,"c","The midair shot snaps at a boarder of snow.","A photographer snaps a midair action shot of a snowboarder."
"153","421730441.jpg#4r1n","n",0.757991187178562,"n",81,1,18,"n","A man is outside with a woman.","A man standing in front of a brick building."
"154","3662271861.jpg#3r1c","c",1.0916572553648,"c",33,3,64,"c","The ballerina is sitting down judging the children's dancing.","An adult ballerina shows you children how to dance."
"155","2634085089.jpg#0r1c","c",0.322493361860324,"c",4,1,95,"c","The girl is sitting by the fountain.","A young girl in a white summer dress walks the outer edges of a large park fountain."
"156","279766384.jpg#3r1n","n",0.242292189082415,"n",96,0,4,"n","He is fishing.","An Indian man standing on the bank of a river."
"157","279766384.jpg#3r1c","c",0.981453895033654,"n",42,0,58,"c","There is a black man fishing.","An Indian man standing on the bank of a river."
"158","2344820947.jpg#1r1c","n",0.778011303546538,"n",77,0,23,"c","Three adults are standing and thinking about space.","Two guys and a woman standing and talking in a playground."
"159","384668736.jpg#3r1n","n",1.09994593428216,"n",71,22,7,"n","A man does Japanese calligraphy.","A man in a yellow shirt does East Asian calligraphy."
"160","3781326288.jpg#3r1c","n",0.856856840084699,"c",78,2,20,"c","There are seven people leaving the club.","A group of people standing in front of a club."
"161","3155601377.jpg#3r1c","n",1.45985310429462,"e",53,27,20,"c","A baby","A sleeping toddler has toppled out of his crib."
"162","2174343200.jpg#2r1c","c",0.914926372779728,"c",33,0,67,"c","A man puts the sweater he knitted on a dog.","Balding man in gray sweater plays with his dog."
"163","4794461173.jpg#2r1n","n",0.746539872415499,"n",83,2,15,"n","girls are watching boys","Two girls are on a street sidewalk and one is sitting."
"164","2414390475.jpg#0r1n","e",0.55712468351235,"e",7,90,3,"n","A person looks at something","A guy with long brown curly hair wearing a white t-shirt is looking into the camera with something in his mouth. a"
"165","3354070828.jpg#0r1c","c",0.515895152948209,"c",9,1,90,"c","A woman is holding one young chimp with another standing next to her","A woman is holding one young children with another standing next to her while a man is sitting by a small campfire."
"166","438106.jpg#2r1c","n",1.18027264309188,"n",61,5,34,"c","Girls are playing outside.","Four female children gather around a brown table to paint."
"167","4972988789.jpg#0r1n","n",0.434889620422621,"n",93,4,3,"n","It is their dog.","A basset hound is tied to a doorway in an alley in front of a man and woman."
"168","4709167742.jpg#1r1n","n",0.434889620422621,"n",93,3,4,"n","The man has walking shoes on.","A man in a plaid shirt and brown pants walking around town with one hand in his pocket."
"169","2645745905.jpg#0r1n","c",0.98581503717892,"c",43,0,57,"n","the woman is white","A man wearing blue jeans and a black shirt is talking to a man wearing white shorts while they are sitting outside in folding chairs on a patio."
"170","3411712848.jpg#0r1e","e",0.836763171160532,"e",19,79,2,"e","Six children are putting on a clown show.","Four children are dressed as clowns and dancers on a stage while another two children dressed as clowns are suspended from ropes."
"171","3487583433.jpg#0r1c","c",1.0318939587528,"c",38,1,61,"c","They are driving the vehicle over a bridge.","Here is a picture of someone doing diagnostics on a vehicle in the dark."
"172","3486768631.jpg#0r1n","n",0.482179190202273,"n",92,4,4,"n","The man is passing by on his way to the store.","A woman in a long-sleeved shirt checks her phone as a man in a leather jacket passes behind her."
"173","502884177.jpg#0r1e","e",0.436469817064103,"e",9,91,0,"e","People are outside.","Closeup of an elderly woman walking across a street with her male companion."
"174","363701711.jpg#1r1n","n",0.735794862975338,"n",82,17,1,"n","A group of women with flowers at a wedding.","A group of young women wearing black dresses stand in a row with three of them holding bouquets."
"175","2420457108.jpg#2r1n","e",0.855450810560131,"n",28,72,0,"n","A girl is practicing her tennis skills.","A girl in a red dress and white sneakers bouncing a tennis ball with a tennis racket."
"176","4289135695.jpg#3r1e","e",0.0807931358959112,"e",1,99,0,"e","A waitress is doing her job at the restaurant.","A waitress is serving customers at a restaurant."
